No.,Fee collection Name,Batch name,Category name,Start date,End date,Due date
1,August-16,01-01-2016-17,Monthly Fee,01/08/2016 ,20/08/2016 ,20/08/2016 
2,August-16,02-02-2016-17,Monthly Fee,01/08/2016 ,20/08/2016 ,20/08/2016 
3,August-16,03-03-2016-17,Monthly Fee,01/08/2016 ,20/08/2016 ,20/08/2016 
4,August-16,04-04-2016-17,Monthly Fee,01/08/2016 ,20/08/2016 ,20/08/2016 
5,August-16,05-05-2016-17,Monthly Fee,01/08/2016 ,20/08/2016 ,20/08/2016 
6,August-16,06-06-2016-17,Monthly Fee,01/08/2016 ,20/08/2016 ,20/08/2016 
7,August-16,07-07-2016-17,Monthly Fee,01/08/2016 ,20/08/2016 ,20/08/2016 
8,August-16,08-08-2016-17,Monthly Fee,01/08/2016 ,20/08/2016 ,20/08/2016 
9,August-16,09-09-2016-17,Monthly Fee,01/08/2016 ,20/08/2016 ,20/08/2016 
10,August-16,NU-NU-2016-17,Monthly Fee,01/08/2016 ,20/08/2016 ,20/08/2016 
11,August-16,PG-PG-2016-17,Monthly Fee,01/08/2016 ,20/08/2016 ,20/08/2016 
12,August-16,PR-PR-2016-17,Monthly Fee,01/08/2016 ,20/08/2016 ,20/08/2016 
13,July-16,01-01-2016-17,Monthly Fee,01/07/2016 ,31/07/2016 ,31/07/2016 
14,July-16,02-02-2016-17,Monthly Fee,01/07/2016 ,31/07/2016 ,31/07/2016 
15,July-16,03-03-2016-17,Monthly Fee,01/07/2016 ,31/07/2016 ,31/07/2016 
16,July-16,04-04-2016-17,Monthly Fee,01/07/2016 ,31/07/2016 ,31/07/2016 
17,July-16,05-05-2016-17,Monthly Fee,01/07/2016 ,31/07/2016 ,31/07/2016 
18,July-16,06-06-2016-17,Monthly Fee,01/07/2016 ,31/07/2016 ,31/07/2016 
19,July-16,07-07-2016-17,Monthly Fee,01/07/2016 ,31/07/2016 ,31/07/2016 
20,July-16,08-08-2016-17,Monthly Fee,01/07/2016 ,31/07/2016 ,31/07/2016 
21,July-16,09-09-2016-17,Monthly Fee,01/07/2016 ,31/07/2016 ,31/07/2016 
22,July-16,NU-NU-2016-17,Monthly Fee,01/07/2016 ,31/07/2016 ,31/07/2016 
23,July-16,PG-PG-2016-17,Monthly Fee,01/07/2016 ,31/07/2016 ,31/07/2016 
24,July-16,PR-PR-2016-17,Monthly Fee,01/07/2016 ,31/07/2016 ,31/07/2016 
25,June-16,01-01-2016-17,Monthly Fee,01/06/2016 ,10/06/2016 ,10/06/2016 
26,June-16,02-02-2016-17,Monthly Fee,01/06/2016 ,10/06/2016 ,10/06/2016 
27,June-16,03-03-2016-17,Monthly Fee,01/06/2016 ,10/06/2016 ,10/06/2016 
28,June-16,04-04-2016-17,Monthly Fee,01/06/2016 ,10/06/2016 ,10/06/2016 
29,June-16,05-05-2016-17,Monthly Fee,01/06/2016 ,10/06/2016 ,10/06/2016 
30,June-16,06-06-2016-17,Monthly Fee,01/06/2016 ,10/06/2016 ,10/06/2016 
31,June-16,07-07-2016-17,Monthly Fee,01/06/2016 ,10/06/2016 ,10/06/2016 
32,June-16,08-08-2016-17,Monthly Fee,01/06/2016 ,10/06/2016 ,10/06/2016 
33,June-16,09-09-2016-17,Monthly Fee,01/06/2016 ,10/06/2016 ,10/06/2016 
34,June-16,NU-NU-2016-17,Monthly Fee,01/06/2016 ,10/06/2016 ,10/06/2016 
35,June-16,PG-PG-2016-17,Monthly Fee,01/06/2016 ,10/06/2016 ,10/06/2016 
36,June-16,PR-PR-2016-17,Monthly Fee,01/06/2016 ,10/06/2016 ,10/06/2016 
37,May-16,01-01-2016-17,Monthly Fee,01/05/2016 ,10/05/2016 ,10/05/2016 
38,May-16,02-02-2016-17,Monthly Fee,01/05/2016 ,10/05/2016 ,10/05/2016 
39,May-16,03-03-2016-17,Monthly Fee,01/05/2016 ,10/05/2016 ,10/05/2016 
40,May-16,04-04-2016-17,Monthly Fee,01/05/2016 ,10/05/2016 ,10/05/2016 
41,May-16,05-05-2016-17,Monthly Fee,01/05/2016 ,10/05/2016 ,10/05/2016 
42,May-16,06-06-2016-17,Monthly Fee,01/05/2016 ,10/05/2016 ,10/05/2016 
43,May-16,07-07-2016-17,Monthly Fee,01/05/2016 ,10/05/2016 ,10/05/2016 
44,May-16,08-08-2016-17,Monthly Fee,01/05/2016 ,10/05/2016 ,10/05/2016 
45,May-16,09-09-2016-17,Monthly Fee,01/05/2016 ,10/05/2016 ,10/05/2016 
46,May-16,NU-NU-2016-17,Monthly Fee,01/05/2016 ,10/05/2016 ,10/05/2016 
47,May-16,PG-PG-2016-17,Monthly Fee,01/05/2016 ,10/05/2016 ,10/05/2016 
48,May-16,PR-PR-2016-17,Monthly Fee,01/05/2016 ,10/05/2016 ,10/05/2016 
