No.,Name,Start date,End date,Tutor,Students,Male,Female
1,01-01-A 2017-18,13/03/2017 ,28/02/2018 ,Iqra Fareed  ( E2015-208),20,0,20
2,01-01-B 2017-18,13/03/2017 ,28/02/2018 ,Sanam Bibi   ( E2014-87),27,27,0
3,02-02-A 2017-18,13/03/2017 ,28/02/2018 ,Noshaba Bibi    ( E2011-15),16,1,15
4,02-02-B 2017-18,13/03/2017 ,28/02/2018 ,Summan  Zahra ( E2017-168),25,25,0
5,03-03-A 2017-18,13/03/2017 ,28/02/2018 ,Iffat Maab   ( E2013-08),17,0,17
6,03-03-B 2017-18,13/03/2017 ,28/02/2018 ,Ayesha  Zafar ( E2017-173),26,26,0
7,04-04-A 2017-18,13/03/2017 ,28/02/2018 ,"",18,0,18
8,04-04-B 2017-18,13/03/2017 ,28/02/2018 ,Farhat Afza  ( E2016-130),27,27,0
9,05-05-A 2017-18,13/03/2017 ,28/02/2018 ,"",20,1,19
10,05-05-B 2017-18,13/03/2017 ,28/02/2018 ,Sadia Bibi    ( E2013-24),25,25,0
11,06-06-A 2017-18,13/03/2017 ,28/02/2018 ,Ammara  Akram ( E2017-163),15,0,15
12,06-06-B 2017-18,13/03/2017 ,28/02/2018 ,Syeda  Zahida ( E2016-123),33,33,0
13,07-07-A 2017-18,13/03/2017 ,28/02/2018 ,Zermina Noreen  ( E2017-142),14,0,14
14,07-07-B 2017-18,13/03/2017 ,28/02/2018 ,Saima  Irum ( E2016-112),30,30,0
15,08-08-B 2017-18,13/03/2017 ,28/02/2018 ,Shahida Bibi    ( E2013-07),26,26,0
16,08-08-A 2017-18,13/03/2017 ,28/02/2018 ,Shumaila Abbasi   ( E2017-147),11,0,11
17,09-09-A 2017-18,13/03/2017 ,28/02/2018 ,Tayyba Ismail  ( E2016-139),8,1,7
18,09-09-B 2017-18,13/03/2017 ,28/02/2018 ,Rabia  Anwar ( E2017-164),35,35,0
19,10-10-A 2017-18,13/03/2017 ,31/03/2018 ,Iqra Khalid    ( E2012-26),16,2,14
20,10-10-B 2017-18,13/03/2017 ,31/03/2018 ,Sobia Rasheed    ( E2013-29),27,27,0
21,KG-KG-Y 2017-18,13/03/2017 ,28/02/2018 ,"",25,25,0
22,KG-KG-G 2017-18,13/03/2017 ,28/02/2018 ,"",23,2,21
23,NUR-NU-R 2017-18,13/03/2017 ,28/02/2018 ,"",19,9,10
24,NUR-NU-T 2017-18,13/03/2017 ,28/02/2018 ,Arooj Fatima  ( E2016-135),21,16,5
25,PG-PG-M 2017-18,13/03/2017 ,28/02/2018 ,Farwa Jaffri    ( E2013-21),28,22,6
