Student admission no,Roll number,Forenoon,Afternoon,Date,Batch name,Reason
2010-0653,11,true,true,2016-04-01,06 - 06-G 2016-17,unknown
2009-0567,14,true,true,2016-04-01,06 - 06-G 2016-17,unknown
2008-0376,,true,true,2016-04-01,06 - 06-G 2016-17,unknown
2015-1413,08,true,true,2016-04-01,06 - 06-G 2016-17,unknown
2008-0376,,true,true,2016-04-04,06 - 06-G 2016-17,unknown
2015-1413,08,true,true,2016-04-04,06 - 06-G 2016-17,unknown
2008-0376,,true,true,2016-04-05,06 - 06-G 2016-17,unknown
2008-0376,,true,true,2016-04-06,06 - 06-G 2016-17,unknown
2008-0376,,true,true,2016-04-07,06 - 06-G 2016-17,unknown
2008-0376,,true,true,2016-04-08,06 - 06-G 2016-17,unknown
2015-1413,08,true,true,2016-04-05,06 - 06-G 2016-17,unknown
2015-1413,08,true,true,2016-04-06,06 - 06-G 2016-17,unknown
2015-1413,08,true,true,2016-04-07,06 - 06-G 2016-17,unknown
2015-1413,08,true,true,2016-04-08,06 - 06-G 2016-17,unknown
2008-0376,,true,true,2016-04-11,06 - 06-G 2016-17,unknown
2015-1398,13,true,true,2016-04-19,08 - 08-A 2016-17,unlnown
2015-1398,13,true,true,2016-04-15,08 - 08-A 2016-17,unlnown
2015-1398,13,true,true,2016-04-11,08 - 08-A 2016-17,unlnown
2008-0376,,true,true,2016-04-12,06 - 06-G 2016-17,unknown
2015-1398,13,true,true,2016-04-08,08 - 08-A 2016-17,unlnown
2008-0376,,true,true,2016-04-13,06 - 06-G 2016-17,unknown
2015-1398,13,true,true,2016-04-04,08 - 08-A 2016-17,unlnown
2008-0376,,true,true,2016-04-14,06 - 06-G 2016-17,unknown
2008-0376,,true,true,2016-04-15,06 - 06-G 2016-17,unknown
2015-1413,08,true,true,2016-04-11,06 - 06-G 2016-17,unknown
2015-1413,08,true,true,2016-04-12,06 - 06-G 2016-17,unknown
2015-1413,08,true,true,2016-04-13,06 - 06-G 2016-17,unknown
2015-1413,08,true,true,2016-04-14,06 - 06-G 2016-17,unknown
2015-1413,08,true,true,2016-04-15,06 - 06-G 2016-17,unknown
2008-0376,,true,true,2016-04-18,06 - 06-G 2016-17,unknown
2008-0376,,true,true,2016-04-19,06 - 06-G 2016-17,unknown
2015-1413,08,true,true,2016-04-18,06 - 06-G 2016-17,unknown
2015-1413,08,true,true,2016-04-19,06 - 06-G 2016-17,unknown
2015-1462,09,true,true,2016-04-08,08 - 08-A 2016-17,unlnown
2014-1157,02,true,true,2016-04-19,06 - 06-G 2016-17,unknown
2014-1157,02,true,true,2016-04-18,06 - 06-G 2016-17,unknown
2015-1462,09,true,true,2016-04-13,08 - 08-A 2016-17,unlnown
2015-1462,09,true,true,2016-04-14,08 - 08-A 2016-17,unlnown
2015-1462,09,true,true,2016-04-15,08 - 08-A 2016-17,unlnown
2013-1054,21,true,true,2016-04-12,06 - 06-G 2016-17,unknown
2014-1191,06,true,true,2016-04-08,08 - 08-A 2016-17,unlnown
2010-0653,11,true,true,2016-04-15,06 - 06-G 2016-17,unknown
2014-1245,,true,true,2016-04-19,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-04-18,08 - 08-A 2016-17,unlnown
2009-0497,05,true,true,2016-03-24,06 - 06-G 2016-17,unknown
2009-0567,14,true,true,2016-03-24,06 - 06-G 2016-17,unknown
2009-0567,14,true,true,2016-03-25,06 - 06-G 2016-17,unknown
2012-0955,09,true,true,2016-03-24,06 - 06-G 2016-17,unknown
2012-0955,09,true,true,2016-03-25,06 - 06-G 2016-17,unknown
2015-1398,13,true,true,2016-03-25,08 - 08-A 2016-17,unlnown
2012-0944,11,true,true,2016-03-25,08 - 08-A 2016-17,unlnown
2013-1036,07,true,true,2016-03-25,08 - 08-A 2016-17,unlnown
2014-1254,12,true,true,2016-03-25,08 - 08-A 2016-17,unlnown
2015-1398,13,true,true,2016-03-28,08 - 08-A 2016-17,unlnown
2015-1462,09,true,true,2016-03-28,08 - 08-A 2016-17,unlnown
2014-1191,06,true,true,2016-03-29,08 - 08-A 2016-17,unlnown
2006-0214,03,true,true,2016-03-31,08 - 08-A 2016-17,
2012-0944,11,true,true,2016-03-31,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-03-23,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-03-24,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-03-28,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-03-25,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-03-29,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-03-30,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-03-31,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-04-01,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-04-04,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-04-05,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-04-06,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-04-07,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-04-08,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-04-11,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-04-12,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-04-13,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-04-14,08 - 08-A 2016-17,unlnown
2014-1245,,true,true,2016-04-15,08 - 08-A 2016-17,unlnown
2013-1066,64,true,true,2016-03-25,09 - 09-B 2016-17,Absent
2015-1320,20,true,true,2016-03-25,01 - 01-B 2016-17,-
2014-1169,82,true,true,2016-03-24,01 - 01-B 2016-17,-
2014-1169,82,true,true,2016-03-25,01 - 01-B 2016-17,-
2014-1149,79,true,true,2016-03-25,01 - 01-B 2016-17,-
2013-1048,62,true,true,2016-03-25,01 - 01-B 2016-17,-
2011-0790,60,true,true,2016-04-21,03 - 03-S 2016-17,leave
2014-1170,10,true,true,2016-04-22,03 - 03-S 2016-17,unknown
2015-1398,13,true,true,2016-04-21,08 - 08-A 2016-17,unlnown
2015-1398,13,true,true,2016-04-20,08 - 08-A 2016-17,unlnown
2015-1457,,true,true,2016-04-21,03 - 03-S 2016-17,-
2015-1457,,true,true,2016-04-22,03 - 03-S 2016-17,-
2011-0790,60,true,true,2016-04-22,03 - 03-S 2016-17,leave
2012-0909,54,true,true,2016-04-22,10 - 10 2016-17,-
2008-0448,51,true,true,2016-04-20,10 - 10 2016-17,-
2008-0448,51,true,true,2016-04-21,10 - 10 2016-17,-
2008-0448,51,true,true,2016-04-22,10 - 10 2016-17,-
2015-1365,75,true,true,2016-04-20,10 - 10 2016-17,-
2013-1071,70,true,true,2016-04-20,10 - 10 2016-17,-
2013-1071,70,true,true,2016-04-21,10 - 10 2016-17,-
2013-1071,70,true,true,2016-04-22,10 - 10 2016-17,-
2015-1401,76,true,true,2016-04-20,10 - 10 2016-17,-
2015-1401,76,true,true,2016-04-21,10 - 10 2016-17,-
2015-1401,76,true,true,2016-04-22,10 - 10 2016-17,-
2004-0035,53,true,true,2016-04-20,10 - 10 2016-17,-
2004-0035,53,true,true,2016-04-21,10 - 10 2016-17,-
2004-0035,53,true,true,2016-04-22,10 - 10 2016-17,-
2013-1030,52,true,true,2016-04-20,10 - 10 2016-17,-
2013-1030,52,true,true,2016-04-21,10 - 10 2016-17,-
2013-1030,52,true,true,2016-04-22,10 - 10 2016-17,-
2004-0049,60,true,true,2016-04-21,10 - 10 2016-17,-
2004-0049,60,true,true,2016-04-22,10 - 10 2016-17,-
2014-1276,67,true,true,2016-04-22,10 - 10 2016-17,-
2009-0518,06,true,true,2016-04-20,10 - 10 2016-17,-
2009-0518,06,true,true,2016-04-21,10 - 10 2016-17,-
2013-1113,74,true,true,2016-04-20,10 - 10 2016-17,-
2013-1113,74,true,true,2016-04-21,10 - 10 2016-17,-
2013-1113,74,true,true,2016-04-22,10 - 10 2016-17,-
2010-0605,64,true,true,2016-04-21,10 - 10 2016-17,-
2010-0605,64,true,true,2016-04-20,10 - 10 2016-17,-
2015-1362,69,true,true,2016-04-20,10 - 10 2016-17,-
2015-1362,69,true,true,2016-04-22,10 - 10 2016-17,-
2010-0664,79,true,true,2016-04-22,10 - 10 2016-17,-
2010-0664,79,true,true,2016-04-21,10 - 10 2016-17,-
2010-0664,79,true,true,2016-04-20,10 - 10 2016-17,-
2004-0071,59,true,true,2016-04-20,10 - 10 2016-17,-
2010-0672,80,true,true,2016-04-20,10 - 10 2016-17,-
2010-0672,80,true,true,2016-04-21,10 - 10 2016-17,-
2010-0672,80,true,true,2016-04-22,10 - 10 2016-17,-
2012-0930,65,true,true,2016-04-21,10 - 10 2016-17,-
2012-0930,65,true,true,2016-04-20,10 - 10 2016-17,-
2015-1361,63,true,true,2016-04-20,10 - 10 2016-17,-
2015-1361,63,true,true,2016-04-21,10 - 10 2016-17,-
2015-1361,63,true,true,2016-04-22,10 - 10 2016-17,-
2013-1133,78,true,true,2016-04-20,10 - 10 2016-17,-
2013-1133,78,true,true,2016-04-21,10 - 10 2016-17,-
2013-1133,78,true,true,2016-04-22,10 - 10 2016-17,-
2010-0623,02,true,true,2016-04-22,10 - 10 2016-17,-
2010-0623,02,true,true,2016-04-21,10 - 10 2016-17,-
2010-0623,02,true,true,2016-04-20,10 - 10 2016-17,-
2015-1334,73,true,true,2016-04-20,10 - 10 2016-17,-
2015-1334,73,true,true,2016-04-21,10 - 10 2016-17,-
2015-1334,73,true,true,2016-04-22,10 - 10 2016-17,-
2011-0800,77,true,true,2016-04-22,10 - 10 2016-17,-
2011-0800,77,true,true,2016-04-21,10 - 10 2016-17,-
2011-0800,77,true,true,2016-04-20,10 - 10 2016-17,-
2014-1154,55,true,true,2016-04-21,10 - 10 2016-17,-
2015-1336,04,true,true,2016-04-21,10 - 10 2016-17,-
2008-0450,56,true,true,2016-04-21,10 - 10 2016-17,-
2014-1156,,true,true,2016-04-20,10 - 10 2016-17,-
2014-1156,,true,true,2016-04-21,10 - 10 2016-17,-
2014-1156,,true,true,2016-04-22,10 - 10 2016-17,-
2007-0313,01,true,true,2016-04-21,10 - 10 2016-17,-
2004-0024,03,true,true,2016-04-20,10 - 10 2016-17,-
2011-0768,71,true,true,2016-04-20,10 - 10 2016-17,-
2011-0768,71,true,true,2016-04-21,10 - 10 2016-17,-
2011-0768,71,true,true,2016-04-22,10 - 10 2016-17,-
2014-1264,05,true,true,2016-04-20,10 - 10 2016-17,-
2013-1105,72,true,true,2016-04-20,10 - 10 2016-17,-
2013-1105,72,true,true,2016-04-21,10 - 10 2016-17,-
2013-1105,72,true,true,2016-04-22,10 - 10 2016-17,-
2013-1005,68,true,true,2016-04-20,10 - 10 2016-17,-
2013-1005,68,true,true,2016-04-21,10 - 10 2016-17,-
2013-1005,68,true,true,2016-04-22,10 - 10 2016-17,-
2013-1034,08,true,true,2016-03-25,05 - 05-G 2016-17,-
2014-1243,16,true,true,2016-03-25,05 - 05-G 2016-17,-
2010-0629,15,true,true,2016-03-25,05 - 05-G 2016-17,-
2014-1196,15,true,true,2016-04-01,01 - 01-R 2016-17,-
2014-1262,17,true,true,2016-04-01,01 - 01-R 2016-17,-
2015-1353,72,true,true,2016-04-01,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-01,01 - 01-R 2016-17,-
2013-1147,14,true,true,2016-04-01,01 - 01-R 2016-17,-
2013-1060,03,true,true,2016-04-04,01 - 01-R 2016-17,-
2015-1389,19,true,true,2016-04-04,01 - 01-R 2016-17,-
2015-1331,87,true,true,2016-04-04,01 - 01-R 2016-17,-
2015-1331,87,true,true,2016-04-05,01 - 01-R 2016-17,-
2013-1140,73,true,true,2016-04-04,01 - 01-R 2016-17,-
2013-1140,73,true,true,2016-04-05,01 - 01-R 2016-17,-
2013-1000,01,true,true,2016-04-05,01 - 01-R 2016-17,-
2013-1019,56,true,true,2016-04-06,01 - 01-R 2016-17,-
2013-1148,78,true,true,2016-04-06,01 - 01-R 2016-17,-
2013-1143,75,true,true,2016-04-07,01 - 01-R 2016-17,-
2013-1003,53,true,true,2016-04-07,01 - 01-R 2016-17,-
2013-1147,14,true,true,2016-04-07,01 - 01-R 2016-17,-
2015-1389,19,true,true,2016-04-08,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-04,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-05,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-06,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-07,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-08,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-11,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-12,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-14,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-15,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-18,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-19,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-20,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-13,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-21,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-22,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-04-25,01 - 01-R 2016-17,-
2013-1060,03,true,true,2016-04-11,01 - 01-R 2016-17,-
2015-1389,19,true,true,2016-04-12,01 - 01-R 2016-17,-
2015-1389,19,true,true,2016-04-11,01 - 01-R 2016-17,-
2015-1389,19,true,true,2016-04-15,01 - 01-R 2016-17,-
2015-1389,19,true,true,2016-04-18,01 - 01-R 2016-17,-
2015-1389,19,true,true,2016-04-19,01 - 01-R 2016-17,-
2015-1389,19,true,true,2016-04-20,01 - 01-R 2016-17,-
2015-1389,19,true,true,2016-04-21,01 - 01-R 2016-17,-
2015-1389,19,true,true,2016-04-22,01 - 01-R 2016-17,-
2015-1389,19,true,true,2016-04-14,01 - 01-R 2016-17,-
2013-1148,78,true,true,2016-04-11,01 - 01-R 2016-17,-
2013-1060,03,true,true,2016-04-12,01 - 01-R 2016-17,-
2014-1196,15,true,true,2016-04-14,01 - 01-R 2016-17,-
2015-1374,77,true,true,2016-04-14,01 - 01-R 2016-17,-
2013-1143,75,true,true,2016-04-14,01 - 01-R 2016-17,-
2013-1003,53,true,true,2016-04-14,01 - 01-R 2016-17,-
2013-1003,53,true,true,2016-04-15,01 - 01-R 2016-17,-
2014-1196,15,true,true,2016-04-19,01 - 01-R 2016-17,-
2013-1143,75,true,true,2016-04-22,01 - 01-R 2016-17,-
2015-1429,,true,true,2016-04-22,01 - 01-R 2016-17,-
2015-1429,,true,true,2016-04-25,01 - 01-R 2016-17,-
2015-1429,,true,true,2016-04-26,01 - 01-R 2016-17,-
2015-1425,08,true,true,2016-03-25,01 - 01-R 2016-17,-
2015-1425,08,true,true,2016-03-24,01 - 01-R 2016-17,-
2013-1147,14,true,true,2016-03-24,01 - 01-R 2016-17,-
2013-1147,14,true,true,2016-03-25,01 - 01-R 2016-17,-
2013-1147,14,true,true,2016-03-28,01 - 01-R 2016-17,-
2013-1147,14,true,true,2016-03-29,01 - 01-R 2016-17,-
2013-1147,14,true,true,2016-03-30,01 - 01-R 2016-17,-
2014-1262,17,true,true,2016-03-24,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-03-23,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-03-24,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-03-25,01 - 01-R 2016-17,-
2016-1491,80,true,true,2016-03-31,01 - 01-R 2016-17,-
2014-1236,83,true,true,2016-03-25,01 - 01-R 2016-17,-
2014-1284,85,true,true,2016-03-24,01 - 01-R 2016-17,-
2014-1284,85,true,true,2016-03-25,01 - 01-R 2016-17,-
2013-1019,56,true,true,2016-03-24,01 - 01-R 2016-17,-
2013-1019,56,true,true,2016-03-25,01 - 01-R 2016-17,-
2013-1135,58,true,true,2016-03-24,01 - 01-R 2016-17,-
2013-1003,53,true,true,2016-03-24,01 - 01-R 2016-17,-
2015-1353,72,true,true,2016-03-25,01 - 01-R 2016-17,-
2015-1353,72,true,true,2016-03-28,01 - 01-R 2016-17,-
2015-1353,72,true,true,2016-03-29,01 - 01-R 2016-17,-
2015-1353,72,true,true,2016-03-24,01 - 01-R 2016-17,-
2015-1353,72,true,true,2016-03-30,01 - 01-R 2016-17,-
2015-1353,72,true,true,2016-03-31,01 - 01-R 2016-17,-
2015-1331,87,true,true,2016-03-25,01 - 01-R 2016-17,-
2015-1429,,true,true,2016-03-24,01 - 01-R 2016-17,-
2015-1429,,true,true,2016-03-25,01 - 01-R 2016-17,-
2015-1429,,true,true,2016-03-29,01 - 01-R 2016-17,-
2015-1319,86,true,true,2016-03-24,01 - 01-R 2016-17,-
2015-1319,86,true,true,2016-03-25,01 - 01-R 2016-17,-
2013-1060,03,true,true,2016-03-25,01 - 01-R 2016-17,-
2015-1351,12,true,true,2016-03-25,01 - 01-R 2016-17,-
2013-1000,01,true,true,2016-03-25,01 - 01-R 2016-17,-
2015-1389,19,true,true,2016-03-25,01 - 01-R 2016-17,-
2014-1262,17,true,true,2016-03-25,01 - 01-R 2016-17,-
2014-1196,15,true,true,2016-03-25,01 - 01-R 2016-17,-
2015-1374,77,true,true,2016-03-25,01 - 01-R 2016-17,-
2013-1075,66,true,true,2016-03-25,01 - 01-R 2016-17,-
2013-1135,58,true,true,2016-03-25,01 - 01-R 2016-17,-
N2015-1410,,true,true,2016-04-01,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-05,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-04,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-06,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-07,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-08,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-11,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-12,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-13,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-14,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-15,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-18,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-19,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-20,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-21,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-22,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-25,02 - 02-Pur 2016-17,-
N2015-1410,,true,true,2016-04-26,02 - 02-Pur 2016-17,-
2014-1204,73,true,true,2016-04-01,02 - 02-Pur 2016-17,-
2014-1204,73,true,true,2016-04-20,02 - 02-Pur 2016-17,-
2013-1045,16,true,true,2016-04-01,02 - 02-Pur 2016-17,-
2015-1456,22,true,true,2016-04-06,02 - 02-Pur 2016-17,-
2015-1456,22,true,true,2016-04-07,02 - 02-Pur 2016-17,-
2015-1456,22,true,true,2016-04-08,02 - 02-Pur 2016-17,-
2015-1456,22,true,true,2016-04-11,02 - 02-Pur 2016-17,-
2015-1323,85,true,true,2016-04-11,02 - 02-Pur 2016-17,-
2012-0450,,true,true,2016-04-01,02 - 02-Pur 2016-17,-
2012-0450,,true,true,2016-04-04,02 - 02-Pur 2016-17,-
2012-0450,,true,true,2016-04-05,02 - 02-Pur 2016-17,-
2012-0450,,true,true,2016-04-06,02 - 02-Pur 2016-17,-
2012-0450,,true,true,2016-04-07,02 - 02-Pur 2016-17,-
2012-0450,,true,true,2016-04-08,02 - 02-Pur 2016-17,-
2012-0450,,true,true,2016-04-12,02 - 02-Pur 2016-17,-
2012-0450,,true,true,2016-04-11,02 - 02-Pur 2016-17,-
2012-0450,,true,true,2016-04-13,02 - 02-Pur 2016-17,-
