Name,Course code,Start date,End date
2015-16,10,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,03,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,03-S,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,04,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,04-S,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,05,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,05-S,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,06,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,06-S,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,07,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,07-B,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,08,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,08-B,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,09,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,KG,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,KG-Y,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,NUR,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,NR,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,01,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,01-R,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,PG,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,PG-G,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,02,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
2015-16,02-Pur,2015-03-16 00:00:00 UTC,2016-02-29 00:00:00 UTC
03-S 2016-17,03,2016-03-21 00:00:00 UTC,2017-02-28 00:00:00 UTC
03-G 2016-17,03,2016-03-21 00:00:00 UTC,2017-02-28 00:00:00 UTC
04-G 2016-17,04,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
04-S 2016-17,04,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
05-G 2016-17,05,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
05-S 2016-17,05,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
06-G 2016-17,06,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
06-S 2016-17,06,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
07-A 2016-17,07,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
07-B 2016-17,07,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
08-A 2016-17,08,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
08-B 2016-17,08,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
09-A 2016-17,09,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
09-B 2016-17,09,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
KG-G 2016-17,KG,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
KG-Y 2016-17,KG,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
NU-T 2016-17,NUR,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
NU-R 2016-17,NUR,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
01-B 2016-17,01,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
01-R 2016-17,01,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
02-P 2016-17,02,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
02-Pur 2016-17,02,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
PG-S 2016-17,PG,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
PG-M 2016-17,PG,2016-03-23 00:00:00 UTC,2017-02-28 00:00:00 UTC
10 2016-17,10,2016-04-20 00:00:00 UTC,2017-03-31 00:00:00 UTC
