Name,Batch,Exam type,Is published,Result published,Exam date,Cce exam category,Exam detail
QUIZ-I,01 - 01-B 2016-17,MarksAndGrades,true,false,2016-04-18,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-04-18 08:00:00 UTC,2016-04-18 09:30:00 UTC,25.0,Exam,English,0.0
2016-04-25 08:00:00 UTC,2016-04-25 09:30:00 UTC,15.0,Exam, Science,0.0
2016-04-21 08:00:00 UTC,2016-04-21 09:30:00 UTC,10.0,Exam,Islamiat,0.0
2016-04-22 08:00:00 UTC,2016-04-22 09:30:00 UTC,10.0,Exam,Computer,0.0
2016-04-26 08:00:00 UTC,2016-04-26 09:30:00 UTC,15.0,Exam,S.Studies,0.0
2016-04-20 08:00:00 UTC,2016-04-20 09:30:00 UTC,25.0,Exam, Math,0.0
2016-04-19 08:00:00 UTC,2016-04-19 09:30:00 UTC,20.0,Exam,Urdu,0.0
"
QUIZ-I,01 - 01-R 2016-17,MarksAndGrades,true,false,2016-04-18,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-04-18 08:00:00 UTC,2016-04-18 09:30:00 UTC,25.0,Exam,English,0.0
2016-04-25 08:00:00 UTC,2016-04-25 09:30:00 UTC,15.0,Exam, Science,0.0
2016-04-21 08:00:00 UTC,2016-04-21 09:30:00 UTC,10.0,Exam,Islamiat,0.0
2016-04-22 08:00:00 UTC,2016-04-22 09:30:00 UTC,10.0,Exam,Computer,0.0
2016-04-26 08:00:00 UTC,2016-04-26 09:30:00 UTC,15.0,Exam,S.Studies,0.0
2016-04-20 08:00:00 UTC,2016-04-20 09:30:00 UTC,25.0,Exam, Math,0.0
2016-04-19 08:00:00 UTC,2016-04-19 09:30:00 UTC,20.0,Exam,Urdu,0.0
"
QUIZ-I,02 - 02-P 2016-17,MarksAndGrades,true,false,2016-04-18,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-04-20 08:00:00 UTC,2016-04-20 09:30:00 UTC,25.0,Exam,Math,0.0
2016-04-18 08:00:00 UTC,2016-04-18 09:30:00 UTC,25.0,Exam,English,0.0
2016-04-19 08:00:00 UTC,2016-04-19 09:30:00 UTC,20.0,Exam,Urdu,0.0
2016-04-21 08:00:00 UTC,2016-04-21 09:30:00 UTC,10.0,Exam,Islamiyat,0.0
2016-04-26 08:00:00 UTC,2016-04-26 09:30:00 UTC,15.0,Exam,Social Studies,0.0
2016-04-25 08:00:00 UTC,2016-04-25 09:30:00 UTC,15.0,Exam,Science,0.0
2016-04-22 08:00:00 UTC,2016-04-22 09:30:00 UTC,10.0,Exam,Computer ,0.0
"
QUIZ-I,02 - 02-Pur 2016-17,MarksAndGrades,true,false,2016-04-18,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-04-20 08:00:00 UTC,2016-04-20 09:30:00 UTC,25.0,Exam,Math,0.0
2016-04-18 08:00:00 UTC,2016-04-18 09:30:00 UTC,25.0,Exam,English,0.0
2016-04-19 08:00:00 UTC,2016-04-19 09:30:00 UTC,20.0,Exam,Urdu,0.0
2016-04-21 08:00:00 UTC,2016-04-21 09:30:00 UTC,10.0,Exam,Islamiyat,0.0
2016-04-26 08:00:00 UTC,2016-04-26 09:30:00 UTC,15.0,Exam,Social Studies,0.0
2016-04-25 08:00:00 UTC,2016-04-25 09:30:00 UTC,15.0,Exam,Science,0.0
2016-04-22 08:00:00 UTC,2016-04-22 09:30:00 UTC,10.0,Exam,Computer ,0.0
"
QUIZ-I,03 - 03-G 2016-17,MarksAndGrades,true,false,2016-04-18,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-04-20 08:00:00 UTC,2016-04-20 09:30:00 UTC,25.0,Exam,Math,0.0
2016-04-18 08:00:00 UTC,2016-04-18 09:30:00 UTC,25.0,Exam,English,0.0
2016-04-19 08:00:00 UTC,2016-04-19 09:30:00 UTC,20.0,Exam,Urdu,0.0
2016-04-21 08:00:00 UTC,2016-04-21 09:30:00 UTC,10.0,Exam,Islamiyat,0.0
2016-04-22 08:00:00 UTC,2016-04-22 09:30:00 UTC,10.0,Exam,Computer,0.0
2016-04-25 08:00:00 UTC,2016-04-25 09:30:00 UTC,15.0,Exam,Science,0.0
2016-04-26 08:00:00 UTC,2016-04-26 09:30:00 UTC,15.0,Exam,Social Studies,0.0
"
QUIZ-I,03 - 03-S 2016-17,MarksAndGrades,true,false,2016-04-18,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-04-20 08:00:00 UTC,2016-04-20 09:30:00 UTC,25.0,Exam,Math,0.0
2016-04-18 08:00:00 UTC,2016-04-18 09:30:00 UTC,25.0,Exam,English,0.0
2016-04-19 08:00:00 UTC,2016-04-19 09:30:00 UTC,20.0,Exam,Urdu,0.0
2016-04-21 08:00:00 UTC,2016-04-21 09:30:00 UTC,10.0,Exam,Islamiyat,0.0
2016-04-22 08:00:00 UTC,2016-04-22 09:30:00 UTC,10.0,Exam,Computer,0.0
2016-04-25 08:00:00 UTC,2016-04-25 09:30:00 UTC,15.0,Exam,Science,0.0
2016-04-26 08:00:00 UTC,2016-04-26 09:30:00 UTC,15.0,Exam,Social Studies,0.0
"
Asst-I,01 - 01-B 2016-17,MarksAndGrades,true,false,2016-05-09,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-12 08:00:00 UTC,2016-05-12 09:20:00 UTC,40.0,Exam,English,0.0
2016-05-18 08:00:00 UTC,2016-05-18 09:20:00 UTC,20.0,Exam, Science,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:20:00 UTC,15.0,Exam,Islamiat,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:20:00 UTC,15.0,Exam,Computer,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:20:00 UTC,20.0,Exam,S.Studies,0.0
2016-05-16 08:00:00 UTC,2016-05-16 09:20:00 UTC,40.0,Exam, Math,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:20:00 UTC,30.0,Exam,Urdu,0.0
"
Asst-I,01 - 01-R 2016-17,MarksAndGrades,true,false,2016-05-09,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-12 08:00:00 UTC,2016-05-12 09:20:00 UTC,40.0,Exam,English,0.0
2016-05-18 08:00:00 UTC,2016-05-18 09:20:00 UTC,20.0,Exam, Science,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:20:00 UTC,15.0,Exam,Islamiat,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:20:00 UTC,15.0,Exam,Computer,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:20:00 UTC,20.0,Exam,S.Studies,0.0
2016-05-16 08:00:00 UTC,2016-05-16 09:20:00 UTC,40.0,Exam, Math,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:20:00 UTC,30.0,Exam,Urdu,0.0
"
Asst-I,02 - 02-P 2016-17,MarksAndGrades,true,false,2016-05-09,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-12 08:00:00 UTC,2016-05-12 09:20:00 UTC,40.0,Exam,Math,0.0
2016-05-16 08:00:00 UTC,2016-05-16 09:20:00 UTC,40.0,Exam,English,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:20:00 UTC,30.0,Exam,Urdu,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:20:00 UTC,15.0,Exam,Islamiyat,0.0
2016-05-18 08:00:00 UTC,2016-05-18 09:20:00 UTC,20.0,Exam,Social Studies,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:20:00 UTC,20.0,Exam,Science,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:20:00 UTC,15.0,Exam,Computer ,0.0
"
Asst-I,02 - 02-Pur 2016-17,MarksAndGrades,true,false,2016-05-09,,"Start time,End time,Maximum marks,Event,Subject,Minimum marks
,,,,,
2016-05-12 08:00:00 UTC,2016-05-12 09:20:00 UTC,40.0,Exam,Math,0.0
2016-05-16 08:00:00 UTC,2016-05-16 09:20:00 UTC,40.0,Exam,English,0.0
2016-05-17 08:00:00 UTC,2016-05-17 09:20:00 UTC,30.0,Exam,Urdu,0.0
2016-05-13 08:00:00 UTC,2016-05-13 09:20:00 UTC,15.0,Exam,Islamiyat,0.0
2016-05-18 08:00:00 UTC,2016-05-18 09:20:00 UTC,20.0,Exam,Social Studies,0.0
2016-05-19 08:00:00 UTC,2016-05-19 09:20:00 UTC,20.0,Exam,Science,0.0
2016-05-20 08:00:00 UTC,2016-05-20 09:20:00 UTC,15.0,Exam,Computer ,0.0
"
