Name,Code,Batch,No exams,Max weekly classes,Credit hours,Elective group,Assigned students
English,ENG-01,01 - 2015-16,false,9,,,
 Science,SCI-01,01 - 2015-16,false,9,,,
Islamiat,ISL-01,01 - 2015-16,false,9,,,
Computer,CS-01,01 - 2015-16,false,9,,,
S.Studies,SS-01,01 - 2015-16,false,9,,,
 Arts,ART-01,01 - 2015-16,false,4,,,
 Library,LIB-01,01 - 2015-16,true,3,,,
Physcial Education,PE-01,01 - 2015-16,true,4,,,
 Math,MAT-01,01 - 2015-16,false,9,,,
Urdu,URD-01,01 - 2015-16,false,9,,,
English,ENG-01,01-R - 2015-16,false,9,,,
Math,MAT-01,01-R - 2015-16,false,9,,,
Urdu,URD-01,01-R - 2015-16,false,9,,,
Islamiyat,ISL-01,01-R - 2015-16,false,9,,,
Computer,CS-01,01-R - 2015-16,false,9,,,
Social Studies,SS-01,01-R - 2015-16,false,9,,,
Science,SCI-01,01-R - 2015-16,false,9,,,
Arts,ART-01,01-R - 2015-16,false,4,,,
Physcial Education,PE-01,01-R - 2015-16,true,3,,,
Library,LIB-01,01-R - 2015-16,true,3,,,
Math,MAT-02,02 - 2015-16,false,9,,,
English,ENG-02,02 - 2015-16,false,9,,,
Urdu,URD-02,02 - 2015-16,false,9,,,
Islamiyat,ISL-02,02 - 2015-16,false,9,,,
Social Studies,SS-02,02 - 2015-16,false,9,,,
Science,SCI-02,02 - 2015-16,false,9,,,
Computer ,CS-02,02 - 2015-16,false,9,,,
Arts,ART-02,02 - 2015-16,false,3,,,
Physcial Education,PE-02,02 - 2015-16,true,3,,,
Library,LIB-02,02 - 2015-16,true,3,,,
Math,MAT-02,02-Pur - 2015-16,false,9,,,
English,ENG-02,02-Pur - 2015-16,false,9,,,
Urdu,URD-02,02-Pur - 2015-16,false,9,,,
Islamiyat,ISL-02,02-Pur - 2015-16,false,9,,,
Computer,CS-02,02-Pur - 2015-16,false,9,,,
Social Studies,SS-02,02-Pur - 2015-16,false,9,,,
Science,SCI-02,02-Pur - 2015-16,false,9,,,
Arts,ART-02,02-Pur - 2015-16,false,3,,,
Physcial Education,PE-02,02-Pur - 2015-16,true,3,,,
Library,LIB-02,02-Pur - 2015-16,true,3,,,
Math,MAT-03,03 - 2015-16,false,9,,,
